mean reward at round 617:110.03563124270684
mean reward at round 618:99.73676395545374
mean reward at round 619:112.58667520534314
mean reward at round 620:105.98327545521559
mean reward at round 621:95.7400737427701
mean reward at round 622:99.35806127574295
mean reward at round 623:93.93572991884419
mean reward at round 624:106.37858276349571
mean reward at round 625:97.40106894743228
mean reward at round 626:103.50375825835768
mean reward at round 627:113.70674074486992
mean reward at round 628:113.73185604492565
mean reward at round 629:109.7349554858525
mean reward at round 630:106.32387374089188
mean reward at round 631:104.83241078430345
mean reward at round 632:109.87703979925325
mean reward at round 633:117.0722829480897
mean reward at round 634:104.29429131347916
mean reward at round 635:108.31962351856687
mean reward at round 636:112.50274051746766
mean reward at round 637:115.53948090674302
mean reward at round 638:120.04276794085351
mean reward at round 639:117.27619415156848
mean reward at round 640:114.53814189352958
mean reward at round 641:112.26314487214394
mean reward at round 642:111.82550066768223
mean reward at round 643:115.72433918306
mean reward at round 644:114.32519411358513
mean reward at round 645:107.78142463548573
mean reward at round 646:110.71451052168352
mean reward at round 647:114.54128562346126
mean reward at round 648:108.22329532009023
mean reward at round 649:113.08461132248112
mean reward at round 650:108.77418678232308
mean reward at round 651:115.91729674761186
mean reward at round 652:104.35886393343233
mean reward at round 653:114.72942112914416
mean reward at round 654:103.02791155553656
mean reward at round 655:102.97215300764341
mean reward at round 656:116.58116664640498
mean reward at round 657:110.49799148561418
mean reward at round 658:113.64530396369568
mean reward at round 659:112.90719686231341
mean reward at round 660:114.76064047137032
mean reward at round 661:109.24899298973189
mean reward at round 662:115.16900538260697
mean reward at round 663:114.18203210228502
mean reward at round 664:112.28343327538015
mean reward at round 665:114.16438619599022
mean reward at round 666:112.87576327789048
mean reward at round 667:114.05822536883143
mean reward at round 668:111.32447421910642
mean reward at round 669:112.87530949543114
mean reward at round 670:107.50435214748498
mean reward at round 671:107.57253527177288
mean reward at round 672:113.45467832693382
mean reward at round 673:110.40379425389712
mean reward at round 674:110.75121745173905
mean reward at round 675:112.39089691260978
mean reward at round 676:108.3477284015845
mean reward at round 677:113.44234085762643
mean reward at round 678:107.7120374881078
mean reward at round 679:109.47958744202688
mean reward at round 680:107.86787861530968
mean reward at round 681:120.07251813119242
mean reward at round 682:107.07681773054975
mean reward at round 683:101.74171200049283
mean reward at round 684:110.06838048526537
mean reward at round 685:118.67223714731611
mean reward at round 686:128.31828263637072
mean reward at round 687:108.63778612421477
mean reward at round 688:111.98012399202527
mean reward at round 689:124.91634512726986
mean reward at round 690:115.07708674223521
mean reward at round 691:113.94969961052617
mean reward at round 692:119.31300693350401
mean reward at round 693:124.52434434968364
mean reward at round 694:112.03814079046937
mean reward at round 695:115.98037778752229
mean reward at round 696:116.72207488552854
mean reward at round 697:114.13029256484495
mean reward at round 698:114.08492498704143
mean reward at round 699:113.05682681756902
mean reward at round 700:112.92864552226908
mean reward at round 701:109.25428163444495
mean reward at round 702:104.95365652913254
mean reward at round 703:109.65855084501018
mean reward at round 704:105.23069065425645
mean reward at round 705:106.33936397115352
mean reward at round 706:110.92583212723956
mean reward at round 707:106.17045981203269
mean reward at round 708:103.65278118267669
mean reward at round 709:103.6632419449906
mean reward at round 710:102.2057080795591
mean reward at round 711:102.45852490292525
mean reward at round 712:100.44192513603524
mean reward at round 713:101.0212503016684
mean reward at round 714:101.0167168477574
mean reward at round 715:106.25466428585499
mean reward at round 716:105.76125519004113
mean reward at round 717:108.89677111675181
mean reward at round 718:110.05698642795937
mean reward at round 719:105.37718999670574
mean reward at round 720:98.81090179454483
mean reward at round 721:101.83138191127495
mean reward at round 722:102.76921917241184
mean reward at round 723:110.24236395428342
mean reward at round 724:105.39662306399568
mean reward at round 725:114.46286014422463
mean reward at round 726:124.48129250844333
mean reward at round 727:106.45213818915173
mean reward at round 728:125.62340223687153
mean reward at round 729:106.95471636647864
mean reward at round 730:106.99798661232954
mean reward at round 731:107.53038512815627
mean reward at round 732:109.4412241414034
mean reward at round 733:107.59040569911916
mean reward at round 734:110.19719752599426
mean reward at round 735:105.85321895148229
mean reward at round 736:112.85422689317974
mean reward at round 737:112.37896929939303
mean reward at round 738:106.3833376328688
mean reward at round 739:110.29513717195802
mean reward at round 740:112.89603334830528
mean reward at round 741:113.30119251021603
mean reward at round 742:111.8120609099161
mean reward at round 743:115.60360170299106
mean reward at round 744:108.75213873348663
mean reward at round 745:115.15899267472001
mean reward at round 746:114.12476331606942
mean reward at round 747:112.93487077587783
mean reward at round 748:117.08025895041548
mean reward at round 749:112.36654642944733
mean reward at round 750:110.31801477671729
mean reward at round 751:109.02694720586855
mean reward at round 752:111.8199920618836
